word,type,count,language
하다,Verb,20025,kr
을,Josa,14657,kr
에,Josa,13506,kr
이,Josa,13038,kr
너,Noun,11933,kr
내,Noun,11651,kr
사랑,Noun,11373,kr
의,Josa,10547,kr
가,Josa,10351,kr
나,Noun,10171,kr
없다,Adjective,7831,kr
있다,Adjective,7717,kr
를,Josa,7484,kr
I,Eng,7082,en
는,Josa,6995,kr
은,Josa,6888,kr
you,Eng,6258,en
그대,Noun,6149,kr
도,Josa,6147,kr
보다,Verb,6012,kr
그,Noun,5779,kr
말,Noun,5453,kr
난,Noun,5419,kr
날,Noun,5389,kr
me,Eng,4358,en
수,Noun,4041,kr
들,Suffix,3712,kr
않다,Verb,3650,kr
널,Noun,3622,kr
the,Eng,3448,en
만,Josa,3410,kr
be,Eng,3318,en
우리,Noun,3227,kr
it,Eng,3204,en
my,Eng,3176,en
것,Noun,3166,kr
나르다,Verb,3060,kr
마음,Noun,3041,kr
이,Noun,2886,kr
사람,Noun,2812,kr
love,Eng,2810,en
더,Noun,2713,kr
Im,Eng,2702,en
Oh,Eng,2684,en
oh,Eng,2660,en
이,Determiner,2646,kr
잊다,Verb,2610,kr
싶다,Verb,2549,kr
다시,Noun,2532,kr
네,Noun,2527,kr
가다,Verb,2478,kr
같다,Adjective,2448,kr
버리다,Verb,2426,kr
처럼,Josa,2410,kr
다,Adverb,2407,kr
모르다,Verb,2404,kr
그렇다,Adjective,2373,kr
되다,Verb,2348,kr
눈물,Noun,2339,kr
내다,Verb,2327,kr
오다,Verb,2308,kr
to,Eng,2256,en
속,Noun,2236,kr
니,Noun,2211,kr
a,Eng,2202,en
이제,Noun,2189,kr
로,Josa,2177,kr
떠나다,Verb,2171,kr
때,Noun,2088,kr
맘,Noun,2016,kr
걸,Noun,1974,kr
눈,Noun,1962,kr
또,Noun,1955,kr
으로,Josa,1949,kr
가슴,Noun,1931,kr
너무,Adverb,1883,kr
밤,Noun,1867,kr
넌,Noun,1855,kr
세상,Noun,1834,kr
생각,Noun,1820,kr
baby,Eng,1796,en
왜,Noun,1795,kr
못,VerbPrefix,1789,kr
알다,Verb,1765,kr
아니다,Adjective,1739,kr
와,Josa,1732,kr
모습,Noun,1717,kr
아,Josa,1704,kr
에서,Josa,1683,kr
해,Noun,1667,kr
아프다,Adjective,1650,kr
젠,Noun,1648,kr
모두,Noun,1642,kr
like,Eng,1620,en
You,Eng,1606,en
고,Josa,1596,kr
지금,Noun,1589,kr
하나,Noun,1563,kr
좋다,Adjective,1559,kr
and,Eng,1542,en
on,Eng,1538,en
돼다,Verb,1538,kr
한,Josa,1537,kr
up,Eng,1524,en
기다리다,Verb,1516,kr
에게,Josa,1487,kr
know,Eng,1482,en
꿈,Noun,1441,kr
시간,Noun,1435,kr
get,Eng,1418,en
yeah,Eng,1398,en
어떻다,Adjective,1375,kr
못,Noun,1368,kr
알,Noun,1364,kr
게,Josa,1360,kr
in,Eng,1348,en
이렇게,Adverb,1327,kr
나다,Verb,1324,kr
주다,Verb,1305,kr
까지,Josa,1304,kr
곁,Noun,1273,kr
야,Josa,1263,kr
go,Eng,1256,en
만나다,Verb,1256,kr
that,Eng,1254,en
들다,Verb,1250,kr
기억,Noun,1225,kr
so,Eng,1220,en
your,Eng,1214,en
대다,Verb,1208,kr
오늘,Noun,1206,kr
없이,Adverb,1195,kr
엔,Josa,1172,kr
내,Determiner,1168,kr
해주다,Verb,1163,kr
웃다,Verb,1147,kr
슬프다,Adjective,1146,kr
하늘,Noun,1143,kr
정말,Noun,1105,kr
행복하다,Adjective,1097,kr
곳,Noun,1093,kr
dont,Eng,1090,en
하고,Josa,1088,kr
찾다,Verb,1085,kr
저,Noun,1081,kr
안,Noun,1077,kr
모든,Noun,1073,kr
당신,Noun,1053,kr
la,Eng,1050,en
함께,Adverb,1043,kr
바람,Noun,1016,kr
이별,Noun,1004,kr
혼자,Noun,994,kr
나,Josa,992,kr
추억,Noun,992,kr
보내다,Verb,985,kr
이야,Josa,978,kr
말다,Verb,977,kr
돌아오다,Verb,974,kr
보고,Noun,965,kr
아름답다,Adjective,964,kr
이다,Verb,955,kr
살다,Verb,941,kr
많다,Adjective,938,kr
떠나가다,Verb,934,kr
노래,Noun,930,kr
손,Noun,927,kr
그렇게,Adverb,926,kr
길,Noun,919,kr
흐르다,Verb,908,kr
자다,Verb,908,kr
영원하다,Adjective,895,kr
하루,Noun,892,kr
Baby,Eng,890,en
we,Eng,890,en
이렇다,Adjective,885,kr
울다,Verb,884,kr
건,Noun,880,kr
위해,Noun,880,kr
서,Josa,876,kr
no,Eng,874,en
싫다,Adjective,871,kr
wanna,Eng,870,en
come,Eng,870,en
그립다,Adjective,867,kr
과,Josa,861,kr
믿다,Verb,855,kr
순간,Noun,853,kr
거야,Eomi,848,kr
한번,Noun,847,kr
끝,Noun,842,kr
남다,Verb,831,kr
Love,Eng,814,en
now,Eng,814,en
하지만,Conjunction,813,kr
for,Eng,808,en
줄,Noun,802,kr
위,Noun,798,kr
보다,Josa,797,kr
두다,Verb,796,kr
do,Eng,794,en
Yeah,Eng,790,en
게,Noun,790,kr
요,Josa,783,kr
언제나,Adverb,767,kr
아직,Adverb,767,kr
그녀,Noun,766,kr
바라보다,Verb,766,kr
우린,Noun,759,kr
with,Eng,758,en
거,Noun,755,kr
다른,Noun,755,kr
어디,Noun,746,kr
this,Eng,742,en
멀리,Noun,739,kr
느끼다,Verb,733,kr
boy,Eng,722,en
girl,Eng,720,en
tell,Eng,718,en
그냥,Noun,713,kr
그,Determiner,712,kr
오,Noun,711,kr
say,Eng,710,en
지,Josa,708,kr
라,Josa,706,kr
면,Josa,706,kr
one,Eng,700,en
불다,Verb,694,kr
뒤,Noun,693,kr
뿐,Noun,690,kr
what,Eng,688,en
누구,Noun,687,kr
want,Eng,686,en
살,Noun,685,kr
되어다,Verb,684,kr
No,Eng,682,en
쉬다,Verb,681,kr
Hey,Eng,680,en
My,Eng,680,en
uh,Eng,678,en
앞,Noun,675,kr
뭐,Noun,674,kr
변하다,Adjective,671,kr
원하다,Adjective,671,kr
처음,Noun,670,kr
한,Determiner,664,kr
두,Noun,661,kr
feel,Eng,656,en
Ah,Eng,652,en
서로,Noun,650,kr
걸다,Verb,650,kr
아,Exclamation,645,kr
여,Josa,639,kr
그때,Noun,639,kr
번,Noun,639,kr
아무,Noun,635,kr
친구,Noun,635,kr
우,Adverb,630,kr
여자,Noun,630,kr
일,Noun,629,kr
back,Eng,628,en
괜찮다,Adjective,624,kr
얼굴,Noun,621,kr
작다,Adjective,616,kr
ah,Eng,616,en
ya,Eng,610,en
해도,Noun,609,kr
자꾸,Noun,609,kr
헤어지다,Verb,609,kr
미치다,Adjective,608,kr
얘기,Noun,608,kr
슬픔,Noun,607,kr
보이다,Verb,607,kr
볼,Noun,604,kr
마,Noun,603,kr
지우다,Verb,600,kr
소리,Noun,594,kr
make,Eng,590,en
just,Eng,586,en
바보,Noun,586,kr
언제,Noun,579,kr
해보다,Verb,579,kr
Its,Eng,578,en
need,Eng,576,en
can,Eng,572,en
울,Noun,569,kr
부르다,Verb,565,kr
나나,Noun,564,kr
차다,Verb,561,kr
꽃,Noun,560,kr
갈다,Verb,560,kr
힘들다,Adjective,556,kr
거리,Noun,556,kr
때문,Noun,555,kr
Uh,Eng,554,en
인,Josa,554,kr
비,Noun,554,kr
미소,Noun,554,kr
둘,Noun,554,kr
그리다,Verb,553,kr
right,Eng,550,en
별,Noun,545,kr
We,Eng,544,en
time,Eng,542,en
마지막,Noun,541,kr
이란,Josa,539,kr
아직도,Adverb,537,kr
매일,Noun,536,kr
Dont,Eng,534,en
let,Eng,532,en
down,Eng,530,en
항상,Noun,526,kr
지키다,Verb,526,kr
잡다,Verb,524,kr
안,VerbPrefix,521,kr
래,Josa,520,kr
제발,Noun,517,kr
많이,Adverb,514,kr
Just,Eng,514,en
여기,Noun,511,kr
지치다,Verb,511,kr
좀,Noun,509,kr
all,Eng,508,en
cant,Eng,508,en
Come,Eng,508,en
미안하다,Adjective,506,kr
night,Eng,506,en
멈추다,Verb,504,kr
만을,Josa,502,kr
남자,Noun,502,kr
멀다,Adjective,500,kr
조금,Noun,500,kr
da,Eng,498,en
채,Noun,495,kr
So,Eng,494,en
예쁘다,Adjective,489,kr
다시다,Verb,487,kr
of,Eng,486,en
na,Eng,486,en
수가,Noun,483,kr
나오다,Verb,480,kr
지다,Verb,476,kr
