form,tag,count
어,EC,55147
나,NP,36864
ᆫ,ETM,21973
의,JKG,20614
너,NP,19779
이,VCP,16940
ᆫ,JX,16394
는,ETM,15697
에,JKB,15461
이,JKS,15316
고,EC,14918
었,EP,14541
하,XSV,14424
을,JKO,14259
ᆯ,ETM,13302
ᆯ,JKO,12081
가,JKS,11053
사랑,NNG,10970
지,EC,10883
를,JKO,10356
도,JX,10131
은,ETM,8677
게,EC,8475
는,JX,8201
하,XSA,8128
어,EF,8025
거,NNB,7898
하,VV,7466
없,VA,7385
은,JX,7295
그,MM,6806
만,JX,6642
수,NNB,5905
주,VX,5774
던,ETM,5309
것,NNB,5236
그대,NP,5210
i,SL,5207
말,NNG,5060
어도,EC,4945
보,VX,4829
에게,JKB,4759
면,EC,4548
않,VX,4366
우리,NP,3986
되,VV,3943
하,VX,3926
보,VV,3899
들,XSN,3781
말,VX,3516
you,SL,3487
가,VV,3371
로,JKB,3240
있,VX,3239
을,ETM,3226
지,VX,3194
어요,EF,3186
어서,EC,3169
',SS,3000
이,MM,2959
마음,NNG,2937
다시,MAG,2917
때,NNG,2899
알,VV,2889
사람,NNG,2849
야,EF,2846
있,VA,2825
지만,EC,2796
겠,EP,2780
더,MAG,2743
기,ETN,2718
싶,VX,2716
오,VV,2609
처럼,JKB,2599
다,MAG,2594
한,MM,2495
모르,VV,2449
잊,VV,2441
같,VA,2440
속,NNG,2408
니,EC,2320
me,SL,2276
눈물,NNG,2272
날,NNG,2257
못,MAG,2190
있,VV,2171
떠나,VV,2087
맘,NNG,2078
너무,MAG,2050
으로,JKB,2024
버리,VX,2017
이제,NNG,2000
눈,NNG,1995
가,VX,1978
또,MAG,1952
가슴,NNG,1940
밤,NNG,1932
그렇,VA,1901
니,NP,1885
에서,JKB,1884
왜,MAG,1873
나,EC,1837
세상,NNG,1812
생각,NNG,1810
며,EC,1794
it,SL,1743
’,SSC,1731
살,VV,1717
어야,EC,1652
울,VV,1649
만나,VV,1644
까지,JX,1631
안,MAG,1625
좋,VA,1616
모습,NNG,1607
네,EC,1576
나,VV,1566
다,EC,1555
죠,EF,1540
my,SL,1528
the,SL,1517
아프,VA,1512
어요,EC,1505
이제,MAG,1504
번,NNB,1502
누구,NP,1488
는데,EC,1475
아니,VCN,1475
기다리,VV,1475
m,SL,1473
꿈,NNG,1424
oh,SL,1408
love,SL,1405
행복,NNG,1399
시간,NNG,1393
ᆯ까,EC,1368
하나,NR,1356
oh,SL,1350
모든,MM,1348
모두,MAG,1342
대,NNB,1328
t,SL,1303
기억,NNG,1292
아직,MAG,1261
웃,VV,1253
이,JKC,1247
이렇,VA,1246
네,EF,1209
하늘,NNG,1202
곁,NNG,1200
오늘,NNG,1197
없이,MAG,1196
s,SL,1195
지,EF,1187
함께,MAG,1172
위하,VV,1169
야,EC,1141
보이,VV,1130
길,NNG,1101
두,MM,1094
지금,MAG,1074
),SSC,1073
정말,MAG,1064
찾,VV,1064
(,SSO,1056
a,SL,1055
