word,type,count,language
하다,Verb,19557,kr
을,Josa,14065,kr
에,Josa,13235,kr
이,Josa,12762,kr
너,Noun,11686,kr
내,Noun,11523,kr
사랑,Noun,10972,kr
가,Josa,10343,kr
의,Josa,10062,kr
나,Noun,9940,kr
없다,Adjective,7647,kr
있다,Adjective,7322,kr
를,Josa,7101,kr
는,Josa,6878,kr
은,Josa,6720,kr
도,Josa,6069,kr
보다,Verb,6014,kr
그대,Noun,5807,kr
그,Noun,5644,kr
난,Noun,5475,kr
말,Noun,5335,kr
날,Noun,5277,kr
I,Eng,5124,en
you,Eng,4226,en
수,Noun,3825,kr
않다,Verb,3617,kr
들,Suffix,3612,kr
널,Noun,3497,kr
만,Josa,3351,kr
것,Noun,3157,kr
be,Eng,3149,en
우리,Noun,3066,kr
나르다,Verb,2999,kr
마음,Noun,2851,kr
이,Noun,2833,kr
oh,Eng,2801,en
사람,Noun,2777,kr
더,Noun,2665,kr
이,Determiner,2564,kr
네,Noun,2513,kr
다,Adverb,2462,kr
잊다,Verb,2461,kr
가다,Verb,2457,kr
모르다,Verb,2441,kr
다시,Noun,2438,kr
같다,Adjective,2426,kr
me,Eng,2407,en
그렇다,Adjective,2395,kr
버리다,Verb,2386,kr
싶다,Verb,2352,kr
내다,Verb,2316,kr
니,Noun,2307,kr
눈물,Noun,2270,kr
처럼,Josa,2269,kr
되다,Verb,2244,kr
오다,Verb,2226,kr
속,Noun,2137,kr
로,Josa,2101,kr
이제,Noun,2098,kr
때,Noun,2064,kr
맘,Noun,2047,kr
떠나다,Verb,2013,kr
걸,Noun,1981,kr
love,Eng,1963,en
또,Noun,1962,kr
넌,Noun,1954,kr
my,Eng,1946,en
눈,Noun,1933,kr
너무,Adverb,1918,kr
가슴,Noun,1893,kr
왜,Noun,1858,kr
으로,Josa,1806,kr
못,VerbPrefix,1778,kr
와,Josa,1770,kr
해,Noun,1765,kr
생각,Noun,1763,kr
밤,Noun,1749,kr
세상,Noun,1748,kr
아니다,Adjective,1720,kr
알다,Verb,1718,kr
아,Josa,1711,kr
it,Eng,1684,en
에서,Josa,1663,kr
돼다,Verb,1618,kr
the,Eng,1616,en
고,Josa,1604,kr
모습,Noun,1604,kr
아프다,Adjective,1595,kr
모두,Noun,1595,kr
젠,Noun,1581,kr
baby,Eng,1557,en
지금,Noun,1557,kr
좋다,Adjective,1540,kr
하나,Noun,1513,kr
한,Josa,1510,kr
에게,Josa,1426,kr
시간,Noun,1416,kr
기다리다,Verb,1367,kr
못,Noun,1358,kr
게,Josa,1342,kr
꿈,Noun,1342,kr
나다,Verb,1322,kr
알,Noun,1316,kr
a,Eng,1310,en
야,Josa,1306,kr
어떻다,Adjective,1299,kr
주다,Verb,1285,kr
들다,Verb,1274,kr
까지,Josa,1254,kr
오늘,Noun,1253,kr
이렇게,Adverb,1252,kr
기억,Noun,1203,kr
곁,Noun,1198,kr
만나다,Verb,1189,kr
대다,Verb,1173,kr
해주다,Verb,1152,kr
없이,Adverb,1150,kr
안,Noun,1146,kr
엔,Josa,1134,kr
to,Eng,1127,en
웃다,Verb,1127,kr
하늘,Noun,1111,kr
yeah,Eng,1110,en
내,Determiner,1086,kr
슬프다,Adjective,1079,kr
정말,Noun,1075,kr
행복하다,Adjective,1067,kr
저,Noun,1029,kr
곳,Noun,1028,kr
모든,Noun,1023,kr
찾다,Verb,1021,kr
함께,Adverb,1018,kr
하고,Josa,1000,kr
혼자,Noun,987,kr
당신,Noun,977,kr
바람,Noun,969,kr
이다,Verb,969,kr
말다,Verb,948,kr
보내다,Verb,946,kr
추억,Noun,941,kr
나,Josa,940,kr
돌아오다,Verb,938,kr
자다,Verb,929,kr
이별,Noun,928,kr
아름답다,Adjective,927,kr
이렇다,Adjective,925,kr
많다,Adjective,921,kr
손,Noun,921,kr
on,Eng,918,en
노래,Noun,917,kr
살다,Verb,914,kr
이야,Josa,912,kr
and,Eng,909,en
그렇게,Adverb,901,kr
la,Eng,895,en
건,Noun,889,kr
dont,Eng,888,en
길,Noun,881,kr
떠나가다,Verb,880,kr
so,Eng,870,en
like,Eng,867,en
get,Eng,867,en
하루,Noun,866,kr
흐르다,Verb,865,kr
싫다,Adjective,861,kr
울다,Verb,850,kr
서,Josa,848,kr
거야,Eomi,846,kr
과,Josa,845,kr
up,Eng,844,en
위,Noun,836,kr
위해,Noun,836,kr
끝,Noun,829,kr
영원하다,Adjective,828,kr
보고,Noun,826,kr
no,Eng,825,en
믿다,Verb,824,kr
게,Noun,822,kr
한번,Noun,813,kr
그립다,Adjective,799,kr
남다,Verb,790,kr
come,Eng,785,en
in,Eng,781,en
줄,Noun,781,kr
하지만,Conjunction,778,kr
다른,Noun,778,kr
그녀,Noun,775,kr
보다,Josa,774,kr
순간,Noun,766,kr
두다,Verb,764,kr
know,Eng,760,en
요,Josa,754,kr
거,Noun,752,kr
바라보다,Verb,751,kr
아직,Adverb,747,kr
go,Eng,740,en
우린,Noun,737,kr
미치다,Adjective,733,kr
어디,Noun,729,kr
그냥,Noun,729,kr
언제나,Adverb,728,kr
살,Noun,720,kr
라,Josa,708,kr
면,Josa,701,kr
오,Noun,697,kr
느끼다,Verb,697,kr
지,Josa,690,kr
쉬다,Verb,687,kr
누구,Noun,686,kr
뭐,Noun,686,kr
앞,Noun,681,kr
두,Noun,680,kr
불다,Verb,679,kr
멀리,Noun,675,kr
한,Determiner,665,kr
여자,Noun,662,kr
뒤,Noun,659,kr
원하다,Adjective,656,kr
그,Determiner,655,kr
뿐,Noun,653,kr
uh,Eng,652,en
we,Eng,648,en
아무,Noun,646,kr
마,Noun,646,kr
아,Exclamation,644,kr
your,Eng,643,en
처음,Noun,642,kr
that,Eng,638,en
걸다,Verb,638,kr
자꾸,Noun,634,kr
번,Noun,633,kr
괜찮다,Adjective,628,kr
일,Noun,624,kr
되어다,Verb,620,kr
hey,Eng,619,en
변하다,Adjective,616,kr
do,Eng,616,en
서로,Noun,611,kr
친구,Noun,610,kr
바보,Noun,608,kr
보이다,Verb,608,kr
여,Josa,606,kr
소리,Noun,604,kr
그때,Noun,602,kr
해도,Noun,599,kr
얼굴,Noun,597,kr
얘기,Noun,596,kr
헤어지다,Verb,596,kr
좀,Noun,594,kr
girl,Eng,592,en
볼,Noun,588,kr
지우다,Verb,580,kr
let,Eng,573,en
인,Josa,570,kr
우,Adverb,568,kr
남자,Noun,567,kr
해보다,Verb,562,kr
차다,Verb,558,kr
힘들다,Adjective,555,kr
때문,Noun,555,kr
언제,Noun,554,kr
작다,Adjective,552,kr
now,Eng,549,en
둘,Noun,547,kr
울,Noun,546,kr
슬픔,Noun,542,kr
매일,Noun,540,kr
나나,Noun,539,kr
안,VerbPrefix,538,kr
여기,Noun,534,kr
그리다,Verb,532,kr
just,Eng,524,en
부르다,Verb,524,kr
거리,Noun,522,kr
say,Eng,521,en
별,Noun,519,kr
미소,Noun,519,kr
제발,Noun,519,kr
꽃,Noun,518,kr
멈추다,Verb,517,kr
ah,Eng,515,en
마지막,Noun,514,kr
많이,Adverb,511,kr
아직도,Adverb,509,kr
갈다,Verb,507,kr
잡다,Verb,506,kr
boy,Eng,505,en
항상,Noun,505,kr
비,Noun,503,kr
예쁘다,Adjective,502,kr
나오다,Verb,502,kr
its,Eng,501,en
수가,Noun,499,kr
이란,Josa,497,kr
래,Josa,497,kr
조금,Noun,497,kr
지키다,Verb,494,kr
지치다,Verb,488,kr
미안하다,Adjective,486,kr
뜨다,Verb,484,kr
만을,Josa,480,kr
one,Eng,479,en
this,Eng,473,en
다시다,Verb,473,kr
이름,Noun,472,kr
wanna,Eng,468,en
채,Noun,468,kr
꼭,Noun,466,kr
받다,Verb,464,kr
후회,Noun,463,kr
멀다,Adjective,461,kr
부터,Josa,459,kr
듯,Noun,459,kr
지다,Verb,455,kr
전,Noun,454,kr
따르다,Verb,449,kr
놓다,Verb,447,kr
서다,Verb,444,kr
안다,Verb,444,kr
for,Eng,443,en
안녕,Noun,443,kr
what,Eng,441,en
만들다,Verb,440,kr
u,Eng,439,en
내리다,Verb,438,kr
향,Noun,436,kr
상처,Noun,432,kr
살아가다,Verb,424,kr
아무,Modifier,420,kr
기다,Verb,419,kr
라도,Josa,418,kr
머리,Noun,417,kr
다가오다,Verb,417,kr
위로,Noun,413,kr
말고,Josa,412,kr
빛,Noun,412,kr
약속,Noun,412,kr
무엇,Noun,411,kr
순,Noun,411,kr
인데,Josa,407,kr
세월,Noun,406,kr
back,Eng,404,en
눈빛,Noun,404,kr
너무나,Adverb,402,kr
하,Suffix,402,kr
어리다,Verb,402,kr
돌다,Verb,401,kr
시작,Noun,400,kr
바라다,Verb,400,kr
깊다,Adjective,399,kr
두,Determiner,397,kr
라고,Josa,396,kr
늘,Noun,395,kr
make,Eng,393,en
누가,Noun,393,kr
홀로,Noun,392,kr
뛰다,Verb,392,kr
그저,Adverb,391,kr
외롭다,Adjective,390,kr
all,Eng,389,en
ooh,Eng,388,en
돌아서다,Verb,387,kr
아픔,Noun,386,kr
좋아하다,Adjective,383,kr
with,Eng,383,en
니까,Josa,383,kr
숨,Noun,382,kr
에도,Josa,381,kr
언젠가,Adverb,379,kr
죽다,Verb,379,kr
애,Noun,378,kr
지나가다,Verb,378,kr
라라라,Noun,377,kr
feel,Eng,376,en
멀어지다,Verb,376,kr
사라지다,Verb,376,kr
want,Eng,375,en
같이,Adverb,371,kr
빠지다,Verb,368,kr
can,Eng,367,en
가끔,Noun,367,kr
뿐,Suffix,364,kr
내겐,Noun,361,kr
너,Modifier,360,kr
단,Noun,360,kr
tell,Eng,359,en
걷다,Verb,358,kr
이유,Noun,355,kr
하얗다,Adjective,354,kr
이상,Noun,353,kr
아침,Noun,351,kr
힘,Noun,350,kr
