form,tag,count
어,EC,57050
나,NP,38001
ᆫ,ETM,22604
의,JKG,21206
너,NP,20546
이,VCP,17468
ᆫ,JX,17000
는,ETM,16105
에,JKB,15858
이,JKS,15819
고,EC,15403
었,EP,14956
하,XSV,14827
을,JKO,14620
ᆯ,ETM,13690
ᆯ,JKO,12498
가,JKS,11461
지,EC,11204
사랑,NNG,11112
를,JKO,10637
도,JX,10475
은,ETM,8911
게,EC,8788
하,XSA,8425
는,JX,8389
어,EF,8306
거,NNB,8210
하,VV,7671
없,VA,7548
은,JX,7490
그,MM,6987
만,JX,6821
수,NNB,6048
주,VX,5999
것,NNB,5527
던,ETM,5515
i,SL,5451
그대,NP,5262
말,NNG,5246
어도,EC,5075
보,VX,4968
에게,JKB,4915
면,EC,4679
않,VX,4531
우리,NP,4130
되,VV,4107
하,VX,4020
보,VV,4015
들,XSN,3908
말,VX,3589
you,SL,3588
가,VV,3445
로,JKB,3357
있,VX,3338
을,ETM,3330
지,VX,3299
어서,EC,3291
어요,EF,3285
',SS,3095
이,MM,3070
마음,NNG,2998
때,NNG,2992
다시,MAG,2978
알,VV,2978
야,EF,2921
있,VA,2906
사람,NNG,2902
겠,EP,2874
지만,EC,2859
더,MAG,2859
기,ETN,2826
싶,VX,2799
오,VV,2700
처럼,JKB,2698
다,MAG,2695
같,VA,2600
한,MM,2555
모르,VV,2543
잊,VV,2479
속,NNG,2442
니,EC,2378
me,SL,2324
눈물,NNG,2315
날,NNG,2308
못,MAG,2253
있,VV,2230
맘,NNG,2178
너무,MAG,2174
떠나,VV,2110
버리,VX,2073
으로,JKB,2050
눈,NNG,2048
가,VX,2034
이제,NNG,2033
또,MAG,2019
밤,NNG,1998
왜,MAG,1969
그렇,VA,1964
가슴,NNG,1956
에서,JKB,1939
니,NP,1931
나,EC,1885
생각,NNG,1848
세상,NNG,1846
며,EC,1819
it,SL,1803
’,SSC,1800
살,VV,1753
좋,VA,1714
안,MAG,1701
어야,EC,1690
까지,JX,1686
만나,VV,1679
울,VV,1664
다,EC,1638
모습,NNG,1626
나,VV,1615
네,EC,1604
my,SL,1595
죠,EF,1577
아프,VA,1555
이제,MAG,1545
아니,VCN,1542
the,SL,1540
번,NNB,1539
어요,EC,1538
는데,EC,1536
m,SL,1523
누구,NP,1522
기다리,VV,1500
love,SL,1460
꿈,NNG,1455
시간,NNG,1450
행복,NNG,1448
ᆯ까,EC,1420
oh,SL,1414
하나,NR,1404
모든,MM,1401
oh,SL,1393
모두,MAG,1363
대,NNB,1356
t,SL,1342
기억,NNG,1330
이,JKC,1318
아직,MAG,1306
이렇,VA,1296
웃,VV,1277
오늘,NNG,1253
지,EF,1252
s,SL,1240
네,EF,1235
하늘,NNG,1224
없이,MAG,1222
곁,NNG,1222
함께,MAG,1203
위하,VV,1177
보이,VV,1175
야,EC,1166
두,MM,1120
길,NNG,1117
지금,MAG,1112
정말,MAG,1109
a,SL,1107
잘,MAG,1100
찾,VV,1097
어디,NP,1078
),SSC,1074
노래,NNG,1065
to,SL,1065
(,SSO,1057
baby,SL,1055
와,JKB,1043
보다,JKB,1039
you,SL,1030
당신,NP,1018
ᆫ데,EC,1014
뭐,NP,1012
부르,VV,1005
나,JC,996
라고,EC,990
저,MM,990
바람,NNG,986
주,VV,986
라,EC,983
슬프,VA,973
보내,VV,964
추억,NNG,963
오,VX,956
었었,EP,953
자꾸,MAG,949
손,NNG,948
많,VA,947
아름답,VA,946
곳,NNG,943
돌아오,VV,942
싫,VA,935
일,NNG,934
하루,NNG,916
다고,EC,907
흐르,VV,902
와,JC,892
남,VV,889
끝,NNG,886
믿,VV,862
그녀,NP,859
위,NNG,858
는지,EC,842
느끼,VV,840
on,SL,837
라도,EC,821
란,ETM,821
순간,NNG,821
요,JX,815
그립,VA,812
못하,VX,809
지나,VV,808
그런,MM,805
